id,role,type,description,size_ratio,style_ref,source
sonar_grid,Procedural Minesweeper sonar grid drawn in the cockpit CRT — fogged/revealed cells numbers flags loot icons,procedural-canvas,Square phosphor-green CRT grid of faceted cells with amber numbers cyan loot glyphs blood-red monster cells and flag markers,vector,STYLE_FORMULA,procedural
cell_icons,Procedural cell content iconography (data mote artifact wreck vent shard flag),procedural-canvas,Small low-poly CRT glyphs cyan data motes amber artifacts rusted wrecks green vents,vector,STYLE_FORMULA,procedural
monster_portraits,Procedural low-poly creature portraits shown on reveal (reused from v1),procedural-canvas,Flat-shaded faceted abyssal monsters anglerfish leviathan pale swimmer squid eel with bioluminescent glow,vector,STYLE_FORMULA,procedural
surface_port,Procedural surface/port + shop screen backdrop and panels,procedural-canvas,Dim steel harbour gantry the Dreadnought at a moonpool with a depth dial and gunmetal shop plates,16:9,STYLE_FORMULA,procedural
bg_title,Procedural title splash — lone submarine descending into the trench (reused),procedural-canvas,A small Russian submarine sinking into a vast black trench faint cyan glow below,16:9,STYLE_FORMULA,procedural
cockpit_frame,Procedural cockpit frame around the sonar viewport (reused),procedural-canvas,Riveted steel submarine interior bezel pipes caged lamp around a dark monitor,16:9,STYLE_FORMULA,procedural
water_fog,Procedural abyss water gradient + marine snow + depth tint (reused),procedural-canvas,Near-black abyssal blue gradient suspended marine snow distant teal source glow,16:9,STYLE_FORMULA,procedural
hud_gauges,Procedural gauges/bars for hull oxygen sanity + money + depth (reused),procedural-canvas,Amber CRT readouts segmented bars riveted gunmetal housings,vector,STYLE_FORMULA,procedural
fx_overlay,Procedural post overlay scanlines vignette sanity-tint flash dither grain (reused),procedural-canvas,CRT scanlines heavy dark vignette violet sanity tint ordered-dither grain,vector,STYLE_FORMULA,procedural
audio_ambient,Procedural ambient drone bed + random hull groans (WebAudio reused),audio-music,Deep oppressive dark ambient drone low sub-bass distant metallic groans,loop,n/a,procedural
audio_threat,Procedural threat layer when a strong monster is exposed (WebAudio reused),audio-music,Dissonant pulsing low cluster rising dread,loop,n/a,procedural
audio_sfx,Procedural one-shot SFX ping scan reveal flag damage roar vent ascend buy sell win lose,audio-sfx,Synthesized submarine sonar ping electronic blips hull groans monstrous roar cash chime,short,n/a,procedural
